Timestamp;Kraftwerk;Zaehlerstand
01.01.2024 00:00;Kraftwerk_1;1676
01.01.2024 01:00;Kraftwerk_1;1695
01.01.2024 02:00;Kraftwerk_1;1718
01.01.2024 03:00;Kraftwerk_1;1746
01.01.2024 04:00;Kraftwerk_1;1765
01.01.2024 05:00;Kraftwerk_1;1784
01.01.2024 06:00;Kraftwerk_1;1812
01.01.2024 07:00;Kraftwerk_1;1836
01.01.2024 08:00;Kraftwerk_1;1854
01.01.2024 09:00;Kraftwerk_1;1877
01.01.2024 10:00;Kraftwerk_1;1895
01.01.2024 11:00;Kraftwerk_1;1913
01.01.2024 12:00;Kraftwerk_1;1934
01.01.2024 13:00;Kraftwerk_1;1944
01.01.2024 14:00;Kraftwerk_1;1955
01.01.2024 15:00;Kraftwerk_1;1972
01.01.2024 16:00;Kraftwerk_1;1987
01.01.2024 17:00;Kraftwerk_1;2009
01.01.2024 18:00;Kraftwerk_1;2024
01.01.2024 19:00;Kraftwerk_1;2037
01.01.2024 20:00;Kraftwerk_1;2064
01.01.2024 21:00;Kraftwerk_1;2083
01.01.2024 22:00;Kraftwerk_1;2103
01.01.2024 23:00;Kraftwerk_1;2116
02.01.2024 00:00;Kraftwerk_1;2133
02.01.2024 01:00;Kraftwerk_1;2154
02.01.2024 02:00;Kraftwerk_1;2168
02.01.2024 03:00;Kraftwerk_1;2190
02.01.2024 04:00;Kraftwerk_1;2207
02.01.2024 05:00;Kraftwerk_1;2226
02.01.2024 06:00;Kraftwerk_1;2243
02.01.2024 07:00;Kraftwerk_1;2272
02.01.2024 08:00;Kraftwerk_1;2292
02.01.2024 09:00;Kraftwerk_1;2307
02.01.2024 10:00;Kraftwerk_1;2331
02.01.2024 11:00;Kraftwerk_1;2345
02.01.2024 12:00;Kraftwerk_1;2366
02.01.2024 13:00;Kraftwerk_1;2376
02.01.2024 14:00;Kraftwerk_1;2389
02.01.2024 15:00;Kraftwerk_1;2410
02.01.2024 16:00;Kraftwerk_1;2434
02.01.2024 17:00;Kraftwerk_1;2455
02.01.2024 18:00;Kraftwerk_1;2474
02.01.2024 19:00;Kraftwerk_1;2492
02.01.2024 20:00;Kraftwerk_1;2505
02.01.2024 21:00;Kraftwerk_1;2521
02.01.2024 22:00;Kraftwerk_1;2539
02.01.2024 23:00;Kraftwerk_1;2564
03.01.2024 00:00;Kraftwerk_1;2586
03.01.2024 01:00;Kraftwerk_1;2597
03.01.2024 02:00;Kraftwerk_1;2619
03.01.2024 03:00;Kraftwerk_1;2637
03.01.2024 04:00;Kraftwerk_1;2654
03.01.2024 05:00;Kraftwerk_1;2677
03.01.2024 06:00;Kraftwerk_1;2702
03.01.2024 07:00;Kraftwerk_1;2727
03.01.2024 08:00;Kraftwerk_1;2743
03.01.2024 09:00;Kraftwerk_1;2761
03.01.2024 10:00;Kraftwerk_1;2783
